t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
97,0,1,1,1,-9.259003853965316,0.6087934318853544,-9.30224809654008,0.0732028950607978,-9.02
98,0,1,1,1,-9.30224809654008,0.0732028950607978,-9.279499038634668,0.566937128982861,-9.02
99,0,1,1,1,-9.279499038634668,0.566937128982861,-9.186528749300594,0.5926532506298222,-9.02
100,1,1,1,1,-0.0188170801613372,-0.0300301619835956,0.0073027713527613,0.7861269295450943,-5.1000000000000005
101,1,1,0,1,0.0073027713527613,0.7861269295450943,-0.0366205834203956,-0.1521380643959331,-5.1000000000000005
102,1,1,1,1,-0.0366205834203956,-0.1521380643959331,-0.0741913238959587,-0.992914521830344,-5.1000000000000005
103,1,1,1,1,-0.0741913238959587,-0.992914521830344,-0.1467177506613836,-1.885697504002645,-5.1000000000000005
104,1,1,1,1,-0.1467177506613836,-1.885697504002645,-0.2537330576297883,-2.276079011431783,-5.1000000000000005
105,1,1,1,1,-0.2537330576297883,-2.276079011431783,-1.8038683380012672,-2.683324841293948,-5.1000000000000005
106,1,1,1,1,-1.8038683380012672,-2.683324841293948,-2.9315371916662345,-2.083642576273064,-5.1000000000000005
107,1,1,1,1,-2.9315371916662345,-2.083642576273064,-3.02030949480426,-1.5965518652953463,-5.1000000000000005
108,1,1,1,1,-3.02030949480426,-1.5965518652953463,-4.369892118023125,-3.08542105789972,-5.1000000000000005
109,1,1,1,1,-4.369892118023125,-3.08542105789972,-5.152641315988471,0.2030980241496521,-5.1000000000000005
110,1,1,1,1,-5.152641315988471,0.2030980241496521,-5.283220082896188,0.4665975824499733,-5.1000000000000005
111,1,1,1,1,-5.283220082896188,0.4665975824499733,-5.229815745997213,0.5764062322172903,-5.1000000000000005
112,1,1,1,1,-5.229815745997213,0.5764062322172903,-5.221548870028278,-0.0559769752447954,-5.1000000000000005
113,1,1,1,1,-5.221548870028278,-0.0559769752447954,-5.236950215663119,-0.3742072490796707,-5.1000000000000005
114,1,1,1,1,-5.236950215663119,-0.3742072490796707,-5.24623658167689,-0.0854878911378989,-5.1000000000000005
115,1,1,1,1,-5.24623658167689,-0.0854878911378989,-5.239374522163278,0.3871292347260969,-5.1000000000000005
116,1,1,1,1,-5.239374522163278,0.3871292347260969,-5.215882935856031,0.4305987026064222,-5.1000000000000005
117,1,1,1,1,-5.215882935856031,0.4305987026064222,-5.044662070798065,-0.0051770097610399,-5.1000000000000005
118,1,1,1,1,-5.044662070798065,-0.0051770097610399,-5.060538917051753,-0.4347665780908181,-5.1000000000000005
119,1,1,1,1,-5.060538917051753,-0.4347665780908181,-5.038753204035001,0.2415903738053086,-5.1000000000000005
120,1,1,1,1,-5.038753204035001,0.2415903738053086,-5.133764285578647,-0.1544842875228408,-5.1000000000000005
121,1,1,1,1,-5.133764285578647,-0.1544842875228408,-5.116384558856445,0.5129770627794655,-5.1000000000000005
122,1,1,1,1,-5.116384558856445,0.5129770627794655,-5.112781591206432,-0.2208570144018307,-5.1000000000000005
123,1,1,1,1,-5.112781591206432,-0.2208570144018307,-5.1627280942828335,-1.2063404516762797,-5.1000000000000005
124,1,1,1,1,-5.1627280942828335,-1.2063404516762797,-5.192311105545124,-0.2348092639813298,-5.1000000000000005
125,1,1,1,1,-5.192311105545124,-0.2348092639813298,-5.189267829191651,0.3809169989430888,-5.1000000000000005
126,1,1,1,1,-5.189267829191651,0.3809169989430888,-5.02267445463477,0.7431725378394103,-5.1000000000000005
127,1,1,1,1,-5.02267445463477,0.7431725378394103,-4.992173187070956,0.2913715833739945,-5.1000000000000005
128,1,1,1,1,-4.992173187070956,0.2913715833739945,-5.006780649312479,-0.0869466610412667,-5.1000000000000005
129,1,1,1,1,-5.006780649312479,-0.0869466610412667,-5.035741591283363,-0.8801704102708052,-5.1000000000000005
130,1,1,1,1,-5.035741591283363,-0.8801704102708052,-5.16243622923662,0.4990369338449967,-5.1000000000000005
131,1,1,1,1,-5.16243622923662,0.4990369338449967,-5.207798442313738,-1.6675492423468636,-5.1000000000000005
132,1,1,1,1,-5.207798442313738,-1.6675492423468636,-5.260931970567559,-0.5795513967015362,-5.1000000000000005
133,1,1,1,1,-5.260931970567559,-0.5795513967015362,-5.253038906500061,0.3328401142017434,-5.1000000000000005
134,1,1,1,1,-5.253038906500061,0.3328401142017434,-5.2672232083514965,-0.7505913239998796,-5.1000000000000005
135,1,1,1,1,-5.2672232083514965,-0.7505913239998796,-5.23375494640504,0.3227539814158571,-5.1000000000000005
136,1,1,1,1,-5.23375494640504,0.3227539814158571,-5.238579482773117,-0.2216740059670927,-5.1000000000000005
137,1,1,1,1,-5.238579482773117,-0.2216740059670927,-5.050995241457751,-0.061276918704171,-5.1000000000000005
138,1,1,1,1,-5.050995241457751,-0.061276918704171,-5.029352828188761,0.5799555353232206,-5.1000000000000005
139,1,1,1,1,-5.029352828188761,0.5799555353232206,-5.105301898950912,-1.4517232694141164,-5.1000000000000005
140,1,1,1,1,-5.105301898950912,-1.4517232694141164,-5.144782526153474,-0.0805417530148784,-5.1000000000000005
141,1,1,1,1,-5.144782526153474,-0.0805417530148784,-5.133140550686027,-0.8211832307016637,-5.1000000000000005
142,1,1,1,1,-5.133140550686027,-0.8211832307016637,-5.191739263183576,-1.0768867515697045,-5.1000000000000005
143,1,1,1,1,-5.191739263183576,-1.0768867515697045,-5.0792365254485725,-0.5238557967694126,-5.1000000000000005
144,1,1,1,1,-5.0792365254485725,-0.5238557967694126,-5.08176898654075,0.1934722031798086,-5.1000000000000005
145,1,1,1,1,-5.08176898654075,0.1934722031798086,-5.042290207610336,1.0426924531133488,-5.1000000000000005
146,1,1,1,1,-5.042290207610336,1.0426924531133488,-5.033241758177667,-0.2596182877443119,-5.1000000000000005
147,1,1,1,1,-5.033241758177667,-0.2596182877443119,-5.019175297703122,0.5024503320091809,-5.1000000000000005
148,1,1,1,1,-5.019175297703122,0.5024503320091809,-4.998946539106603,0.2724214750113851,-5.1000000000000005
149,1,1,1,1,-4.998946539106603,0.2724214750113851,-5.026316261117027,-0.9102719901820212,-5.1000000000000005
150,1,1,1,1,-5.026316261117027,-0.9102719901820212,-5.0584084782237015,-0.3499301932432382,-5.1000000000000005
151,1,1,1,1,-5.0584084782237015,-0.3499301932432382,-5.066630634598292,-0.1866225340315857,-5.1000000000000005
152,1,1,1,1,-5.066630634598292,-0.1866225340315857,-5.132823015756424,-0.2677479876120121,-5.1000000000000005
