timestep,Ours_mean_mse,Ours_std_mse,PEARL_mean_mse,PEARL_std_mse,RL2_mean_mse,RL2_std_mse,CEMRL_mean_mse,CEMRL_std_mse,MELTS_mean_mse,MELTS_std_mse
60,0.007463185149859007,0.004536481121386125,54.107591031353415,44.04845432586885,42.47569026880594,33.17750722586897,12.038531132275656,12.576947055968173,13.348048708576007,17.211642211927636
61,0.008229433750778717,0.011799850281535943,54.446721535052994,44.80994790394916,42.333342246577715,32.92854734150168,11.68054738701773,12.11455737537686,12.8232773963632,16.61848398354503
62,0.00648395653976545,0.007942321581666812,54.79643904963862,45.40496042797755,42.28470613064414,32.85119765399493,11.331422095221852,11.64428315401288,12.317498717219717,16.051990092031968
63,0.00471088548535827,0.003898642483322336,55.26454685000866,46.00413375484389,42.311596836219955,32.7349878737265,11.02567026141053,11.254552075957742,11.823383896198074,15.596279228460592
64,0.006742774503644362,0.0029809145911436894,55.743937408634615,46.72830650632904,42.2932553304022,32.522931966520986,10.763961205846996,10.925697478413069,11.341555861922593,15.176784287157025
65,0.004578527818995394,0.003499189429178181,56.317718419999956,47.45616748527272,42.162534078273104,32.35794283988835,10.543733625221734,10.642067742341803,10.856488076398213,14.652553475648102
66,0.004268580031771591,0.0018726236013692009,56.967637701339626,48.4474201674674,42.042348911536365,32.230038365255766,10.325898139743723,10.357624069364515,10.381605764667077,14.0197205010957
67,0.004087695195057028,0.0020152892243105428,57.41638635475661,49.243673012490106,41.91389693875998,32.10059200128969,10.09964680289055,10.076412330435854,9.903683146203285,13.37234725614731
68,0.00272400595196076,0.003252994569241722,57.720032587642464,49.82508959249547,41.78667293089071,31.974380914801493,9.872609357065471,9.834076020334042,9.443903888010858,12.88500096659292
69,0.0075697404741828095,0.010491710988604217,58.09513409171822,50.748093160027274,41.74281343660292,31.744146536371492,9.682831780419358,9.626323376156108,9.014433380138353,12.487983164118043
70,0.013233650840128322,0.01652615107246401,58.580570368081126,51.67189789306468,41.74735326117151,31.415330080954163,9.52912734075632,9.40072291179543,8.600764229930231,12.001056728181698
71,0.015367928711309162,0.016665778937499372,59.11519785233653,52.5404009386633,41.665650971298774,31.07859717549421,9.366885383473283,9.142315672755723,8.205130507500877,11.462726578914632
72,0.01084788797918494,0.009191994172467636,59.552916463780235,53.291045547705295,41.49203756708063,30.79640214289988,9.224056834279569,8.93954772155153,7.820329048617945,10.916326444216137
73,0.008278223182363313,0.0068755301348717695,59.97749396784127,54.042932204638355,41.34726695252016,30.56682598298939,9.067833765426071,8.76466574974684,7.446221448980931,10.386715390405499
74,0.0166670592326549,0.013261982296084121,60.317306589526524,54.788126253472036,41.294782533119594,30.39905184571013,8.90034687363668,8.599140467692285,7.113737456057125,9.992837397252663
75,0.008382157873079546,0.010532360123192188,60.7458651531275,55.58321509959076,41.33311993648854,30.311547782438367,8.771266104965662,8.484778978761815,6.808449763694647,9.632860252159723
