epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
17,-251.80513999999997,67.26191009600306,-184.54322990399692,-319.067050096003,-227.22361037037038,34.02648306437356,-193.19712730599682,-261.2500934347439
18,-236.50108,48.717958039511466,-187.78312196048853,-285.2190380395115,-227.711898245614,34.79971858938082,-192.91217965623323,-262.51161683499487
19,-238.09411,35.408127699898216,-202.68598230010178,-273.5022376998982,-228.2310088333333,34.83013904490669,-193.40086978842663,-263.06114787824004
20,-246.2129766666667,48.95533861995069,-197.257638046716,-295.16831528661737,-229.087293015873,35.50276759609926,-193.58452541977377,-264.59006061197226
21,-240.30519333333336,42.65400791047114,-197.65118542286223,-282.9592012438045,-229.59719757575758,35.82782397402526,-193.76937360173233,-265.4250215497828
22,-244.40331,43.29974165575009,-201.1035683442499,-287.7030516557501,-230.24094159420292,36.1526899601872,-194.08825163401568,-266.39363155439014
23,-243.3946533333333,52.79499076980725,-190.59966256352607,-296.18964410314055,-230.78901291666668,36.84611916058804,-193.94289375607863,-267.6351320772547
24,-259.0191066666667,59.50329294086699,-199.5158137257997,-318.52239960753366,-231.91821666666667,37.752406111799196,-194.1658105548675,-269.6706227784659
25,-262.7224833333333,80.05513769320137,-182.6673456401319,-342.7776210265347,-233.10299615384614,39.37943424954543,-193.7235619043007,-272.4824304033916
26,-270.10140666666666,91.59163341930382,-178.50977324736283,-361.6930400859705,-234.47330765432096,41.31321940398093,-193.16008825034007,-275.78652705830194
27,-282.1237366666667,143.71803141081162,-138.40570525585505,-425.84176807747826,-236.1751086904762,44.9705341185106,-191.2045745719656,-281.1456428089868
28,-313.2072166666667,161.01158417487989,-152.1956324917868,-474.21880084154657,-238.83138827586208,48.971949637695744,-189.85943863816635,-287.8033379135578
29,-249.13057,35.30827023928955,-213.82229976071045,-284.43884023928956,-239.17469433333332,48.516493657748875,-190.65820067558445,-287.6911879910822
30,-215.7853733333333,23.186391245854402,-192.5989820874789,-238.9717645791877,-239.63370055555558,49.184224546200376,-190.4494760093552,-288.817925101756
31,-228.71695,45.05783871499942,-183.65911128500056,-273.77478871499943,-240.5130477777778,50.6618354958201,-189.85121228195766,-291.17488327359786
32,-217.02395,19.804397880339607,-197.21955211966042,-236.8283478803396,-240.88060922222223,51.1591749941069,-189.72143422811533,-292.0397842163291
33,-226.96762,25.20736099877376,-201.76025900122625,-252.17498099877378,-239.6263403333333,48.56803121880113,-191.0583091145322,-288.19437155213444
34,-248.88376000000002,50.87653468890449,-198.00722531109554,-299.76029468890454,-240.24794122222224,48.75776015933682,-191.4901810628854,-289.0057013815591
35,-237.09928000000002,31.76058386603905,-205.33869613396098,-268.85986386603906,-240.17260388888886,47.86113502743304,-192.31146886145586,-288.03373891632197
36,-211.28773999999999,32.75932855678364,-178.52841144321633,-244.04706855678364,-239.61468366666668,47.5016882474882,-192.11299541917845,-287.11637191415485
37,-233.57753666666667,31.795146659121315,-201.78239000754536,-265.372683325788,-239.07597433333333,46.148464591881456,-192.92750974145187,-285.22443892521477
38,-232.90416666666667,34.27228787318601,-198.63187879348067,-267.17645453985267,-238.7714688888889,45.27654394773229,-193.4949249411566,-284.04801283662124
39,-228.46253000000002,25.699999447603098,-202.76253055239692,-254.1625294476031,-239.04907544444444,45.8446291405953,-193.20444630384915,-284.89370458503976
40,-212.80085666666665,11.425862575934183,-201.37499409073246,-224.22671924260084,-238.18507322222223,45.067550685499405,-193.11752253672282,-283.2526239077216
41,-216.66876,18.649349746272645,-198.01941025372736,-235.31810974627263,-238.237225,45.48121442455008,-192.75601057544992,-283.7184394245501
42,-216.32390666666666,16.673476101924074,-199.65043056474258,-232.99738276859074,-238.34674977777777,45.844566451813655,-192.50218332596415,-284.19131622959145
43,-213.76779666666667,18.127318526920448,-195.64047813974622,-231.89511519358712,-238.52151477777778,46.152532561302834,-192.36898221647496,-284.67404733908063
