epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
19,-173.78443333333334,16.949053676832026,-156.83537965650132,-190.73348701016536,-186.76012983333334,14.781531901685804,-171.97859793164753,-201.54166173501912
20,-169.11953666666668,38.743901551857604,-130.37563511480909,-207.86343821852427,-185.9201015873016,15.922597123122557,-169.99750446417903,-201.84269871042414
21,-191.64732666666666,41.48607616131627,-150.16125050535038,-233.13340282798293,-186.18043,17.08457344304045,-169.09585655695955,-203.26500344304043
22,-177.77329,43.63528063558088,-134.13800936441913,-221.40857063558087,-185.81490217391305,18.238952016629167,-167.57595015728387,-204.05385419054218
23,-182.5248766666667,46.55748797358845,-135.96738869307825,-229.08236464025515,-185.6778177777778,19.418891014835804,-166.25892676294197,-205.09670879261355
24,-156.0562833333333,33.72621676361927,-122.33006656971403,-189.7825000969526,-184.4929564,19.991184044787143,-164.50177235521286,-204.48414044478716
25,-162.63279333333332,32.13216411112133,-130.500629222212,-194.76495744445464,-183.6521808974359,20.458144816569227,-163.19403608086668,-204.1103257140051
26,-164.9058,26.728376806452356,-138.17742319354764,-191.63417680645236,-182.9578704938272,20.690375631009346,-162.26749486281784,-203.6482461248365
27,-169.85322,32.29753325454282,-137.55568674545717,-202.15075325454282,-182.48984726190477,21.10491697470697,-161.38493028719782,-203.59476423661172
28,-173.45258,22.19700523223572,-151.2555747677643,-195.64958523223572,-182.17821735632182,21.14257519048382,-161.03564216583803,-203.32079254680565
29,-178.36178333333336,22.927034010382446,-155.43474932295092,-201.2888173437158,-182.0510028888889,21.20205715114711,-160.8489457377418,-203.253060040036
30,-177.98578333333333,30.775511475019123,-147.2102718583142,-208.76129480835246,-181.078475,21.84648522619998,-159.23198977380005,-202.92496022619997
31,-156.01284666666666,13.6268193901157,-142.38602727655095,-169.63966605678237,-179.52838655555556,22.189893465619402,-157.33849308993615,-201.71828002117496
32,-160.92994,32.62020941863034,-128.30973058136965,-193.55014941863033,-177.82493177777778,23.10005096555597,-154.7248808122218,-200.92498274333374
33,-149.92823666666666,15.094867071830524,-134.83336959483614,-165.02310373849718,-175.85699766666667,23.259504365132894,-152.59749330153377,-199.11650203179954
34,-150.56145666666666,14.56204407075578,-135.99941259591088,-165.12350073742243,-174.13644344444444,23.63841229399389,-150.49803115045054,-197.77485573843833
35,-146.33158333333333,18.15179391262014,-128.17978942071318,-164.48337724595348,-172.40964255555554,24.172853264447593,-148.23678929110795,-196.58249582000315
36,-154.25854999999999,25.600371110644087,-128.6581788893559,-179.85892111064408,-171.29543611111112,24.60913597251299,-146.68630013859814,-195.90457208362412
37,-156.09193666666667,28.273302382087113,-127.81863428457956,-184.36523904875378,-169.69407155555558,24.476170260359524,-145.21790129519604,-194.1702418159151
38,-160.59437,22.29267143728404,-138.30169856271596,-182.88704143728404,-168.76272044444445,24.53306747193487,-144.22965297250954,-193.2957879163793
39,-157.17203666666666,30.72874069551229,-126.44329597115437,-187.90077736217896,-167.53361700000002,25.2766593841365,-142.25695761586348,-192.8102763841365
40,-157.84176333333332,27.261362818157735,-130.5804005151756,-185.10312615149104,-167.01800666666665,25.93368388403519,-141.08432278263146,-192.95169055070184
41,-172.08408333333333,32.497511037678464,-139.58657229565486,-204.5815943710118,-166.89871166666666,26.677875667629188,-140.22083599903746,-193.57658733429585
42,-161.3677266666667,19.088762814379386,-142.27896385228732,-180.45648948104608,-166.298464,26.574187027010762,-139.72427697298923,-192.8726510270108
43,-156.28472666666667,24.663248071384135,-131.62147859528253,-180.94797473805082,-164.48521533333331,25.791697197872246,-138.6935181354611,-190.27691253120557
