epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
14,-175.99068250000002,18.17157161026233,-157.8191108897377,-194.16225411026235,-212.41421716666667,42.74985143905851,-169.66436572760816,-255.1640686057252
15,-178.91407,23.240019193328276,-155.67405080667174,-202.15408919332828,-210.32045796875,41.53048692370037,-168.78997104504964,-251.85094489245037
16,-174.22008,21.590891580474388,-152.6291884195256,-195.8109715804744,-208.19690632352942,40.35756955056943,-167.83933677295997,-248.55447587409884
17,-170.448605,25.835020331715764,-144.61358466828423,-196.28362533171574,-206.09977847222223,39.55076126063312,-166.5490172115891,-245.65053973285532
18,-184.84727749999996,22.011565529223308,-162.83571197077666,-206.85884302922327,-204.98122578947368,38.62764569582208,-166.35358009365163,-243.60887148529577
19,-179.16453,23.014801433545617,-156.1497285664544,-202.17933143354563,-203.690391,37.84700348270825,-165.84338751729175,-241.53739448270827
20,-178.045525,34.41438203531628,-143.6311429646837,-212.4599070353163,-202.46920690476193,37.683545318546734,-164.78566158621518,-240.15275222330862
21,-161.87598,24.76018277860647,-137.11579722139354,-186.63616277860646,-200.62406022727274,37.09611974854945,-163.52794047872328,-237.72017997582216
22,-164.745395,25.40950926600184,-139.33588573399817,-190.15490426600184,-199.06411826086958,36.58800624930824,-162.47611201156133,-235.6521245101778
23,-166.9600775,26.941600948519955,-140.01847655148006,-193.90167844851996,-197.72644989583333,36.186072695108734,-161.5403772007246,-233.91252259094207
24,-172.28449,27.044062321585486,-145.2404276784145,-199.3285523215855,-196.7087715,35.8203922801678,-160.88837921983222,-232.5291637801678
25,-170.2819475,21.826096009146752,-148.45585149085326,-192.10804350914674,-195.69235519230767,35.282150115897764,-160.41020507640994,-230.97450530820547
26,-170.17545,25.038299945466214,-145.1371500545338,-195.21374994546622,-194.74728462962963,34.902748257733634,-159.844536371896,-229.65003288736327
27,-159.929675,15.23934839065962,-144.6903266093404,-175.16902339065962,-193.50379857142858,34.200483976766705,-159.30331459466188,-227.7042825481953
28,-154.7129225,26.248757809738184,-128.4641646902618,-180.96168030973817,-192.1661821551724,33.92628652273124,-158.23989563244118,-226.09246867790364
29,-150.9500475,26.767134613167414,-124.1829128868326,-177.71718211316744,-190.792311,33.687648125745774,-157.10466287425422,-224.47995912574578
30,-155.21878750000002,18.80005378207445,-136.41873371792556,-174.01884128207448,-189.07004691666668,34.12886679201395,-154.9411801246527,-223.19891370868064
31,-151.7354425,24.155069995572884,-127.58037250442712,-175.8905124955729,-187.42957325,34.89592660575461,-152.5336466442454,-222.3254998557546
32,-146.8874375,23.516396981295657,-123.37104051870435,-170.40383448129566,-185.62086866666667,35.6021024638303,-150.0187662028364,-221.22297113049697
33,-148.27953,19.984348697448212,-128.29518130255178,-168.2638786974482,-183.84297416666666,36.16583867221191,-147.67713549445477,-220.00881283887858
34,-149.80078250000003,30.923875120847296,-118.87690737915273,-180.72465762084732,-182.17528933333332,37.1736351725921,-145.00165416074123,-219.34892450592542
35,-141.6307165,28.577172396418945,-113.05354410358106,-170.20788889641895,-179.7366993,37.05394472528469,-142.68275457471535,-216.79064402528468
36,-143.17315,33.17868814111352,-109.99446185888647,-176.35183814111352,-176.43358980000002,36.04792838194285,-140.38566141805714,-212.48151818194285
37,-148.79068,31.661298479046412,-117.1293815209536,-180.45197847904643,-174.69313229999997,36.706410520120244,-137.98672177987976,-211.39954282012025
38,-144.92687,34.04875971542282,-110.87811028457719,-178.97562971542283,-171.23586905,33.36806434012745,-137.86780470987256,-204.60393339012745
39,-144.2075625,31.60882305669138,-112.59873944330862,-175.8163855566914,-167.5117238833333,29.68318822039111,-137.82853566294222,-197.19491210372448
40,-148.69592375,30.91388540137786,-117.78203834862214,-179.60980915137785,-164.58074175833335,27.434960539011723,-137.1457812193216,-192.01570229734506
41,-145.39481375000003,23.417859099837095,-121.97695465016292,-168.81267284983713,-161.33031046666667,25.394962522430045,-135.9353479442366,-186.72527298909668
42,-145.21609999999998,19.740131899059513,-125.47596810094046,-164.9562318990595,-160.19933488333334,25.367384477266913,-134.8319504060664,-185.56671936060027
43,-146.784445,26.26438644762079,-120.52005855237921,-173.04883144762078,-159.14296655,25.478133100352824,-133.66483344964718,-184.62109965035282
44,-145.5062325,26.452947804962903,-119.0532846950371,-171.9591803049629,-158.12681821666666,25.75417897350951,-132.37263924315715,-183.88099719017615
