epoch,mean,std,upper,lower,mean_smooth,std_smooth,upper_smooth,lower_smooth
33,-131.87286333333333,18.859768115354253,-113.01309521797907,-150.73263144868758,-175.4742941111111,24.624858455546985,-150.84943565556415,-200.09915256665812
34,-139.12731333333332,17.81831705113963,-121.30899628219369,-156.94563038447296,-173.38257455555555,25.120531149996182,-148.26204340555935,-198.50310570555175
35,-129.49199666666667,15.318642186376493,-114.17335448029017,-144.81063885304314,-170.43274566666665,24.530068066778412,-145.90267759988828,-194.9628137334451
36,-126.64182333333333,16.311215251428482,-110.33060808190486,-142.95303858476183,-166.62657099999998,22.45780850437176,-144.16876249562827,-189.08437950437175
37,-131.75735833333334,16.559947322760667,-115.19741101057268,-148.31730565609402,-164.07281438888887,21.957468583437052,-142.11534580545182,-186.03028297232595
38,-131.49227133333332,14.233199382538885,-117.25907195079444,-145.7254707158722,-162.10255487777778,21.857732860235615,-140.24482201754213,-183.9602877380134
39,-127.41487,11.692709963182185,-115.72216003681781,-139.1075799631822,-160.16270087777775,22.060118993310287,-138.1025818844675,-182.22281987108806
40,-124.44450333333333,8.698027406626936,-115.7464759267064,-133.14253073996028,-158.48547743333336,22.0947450029139,-136.39073243041943,-180.58022243624723
41,-124.17352,12.667811868974255,-111.50570813102574,-136.84133186897424,-156.92531987777778,22.124597817493722,-134.80072206028404,-179.04991769527152
42,-125.69197533333333,12.780105480503872,-112.91186985282945,-138.4720808138372,-155.0665027222222,21.966289452501663,-133.10021326972057,-177.03279217472388
43,-131.71619666666666,6.924785013575024,-124.79141165309164,-138.64098168024168,-153.38669683333333,21.055022632990756,-132.33167420034258,-174.44171946632412
