t,episode,true_task_idx,pred_task_idx,exec_task_idx,x_before,vx_before,x_after,vx_after,true_goal
96,5,0,0,0,10.826426077481209,-1.3501453399658203,10.931294832225737,1.0486875474452972,10.0
97,5,0,0,0,10.931294832225737,1.0486875474452972,10.939641165394184,0.0834633316844701,10.0
98,5,0,0,0,10.939641165394184,0.0834633316844701,10.684199171919223,-2.5544199347496037,10.0
99,5,0,0,0,10.684199171919223,-2.5544199347496037,10.583644340593215,-1.0055483132600784,10.0
0,6,3,3,3,-0.0032058927169068,-0.1892581340746247,-0.2607388469329104,-2.575329542160034,-2.5
1,6,3,3,3,-0.2607388469329104,-2.575329542160034,-0.4905024292817339,-2.2976358234882355,-2.5
2,6,3,3,3,-0.4905024292817339,-2.2976358234882355,-0.7073885771384463,-2.1688614785671234,-2.5
3,6,3,3,3,-0.7073885771384463,-2.1688614785671234,-0.9354950162520632,-2.281064391136169,-2.5
4,6,3,3,3,-0.9354950162520632,-2.281064391136169,-1.1747024479260668,-2.392074316740036,-2.5
5,6,3,3,3,-1.1747024479260668,-2.392074316740036,-1.423696559940837,-2.489941120147705,-2.5
6,6,3,3,3,-1.423696559940837,-2.489941120147705,-1.6653898629298434,-2.4169330298900604,-2.5
7,6,3,3,3,-1.6653898629298434,-2.4169330298900604,-1.9248526069274168,-2.5946274399757385,-2.5
8,6,3,3,3,-1.9248526069274168,-2.5946274399757385,-2.181416419421695,-2.5656381249427795,-2.5
9,6,3,3,3,-2.181416419421695,-2.5656381249427795,-2.432811823760532,-2.5139540433883667,-2.5
10,6,3,3,3,-2.432811823760532,-2.5139540433883667,-2.6896976801505312,-2.568858563899994,-2.5
11,6,3,3,3,-2.6896976801505312,-2.568858563899994,-2.9497409733882174,-2.6004329323768616,-2.5
12,6,3,3,3,-2.9497409733882174,-2.6004329323768616,-3.1982482197633013,-2.4850724637508392,-2.5
13,6,3,3,3,-3.1982482197633013,-2.4850724637508392,-3.4585518064847216,-2.603035867214203,-2.5
14,6,3,3,3,-3.4585518064847216,-2.603035867214203,-3.7055912735810494,-2.470394670963288,-2.5
15,6,3,3,3,-3.7055912735810494,-2.470394670963288,-3.965553176676296,-2.5996190309524536,-2.5
16,6,3,3,3,-3.965553176676296,-2.5996190309524536,-4.221202385698818,-2.55649209022522,-2.5
17,6,3,3,3,-4.221202385698818,-2.55649209022522,-4.487484675919078,-2.662822902202606,-2.5
18,6,3,3,3,-4.487484675919078,-2.662822902202606,-4.748042059217952,-2.605573832988739,-2.5
19,6,3,3,3,-4.748042059217952,-2.605573832988739,-5.005938869987987,-2.578968107700348,-2.5
20,6,3,3,3,-5.005938869987987,-2.578968107700348,-5.2718991461148486,-2.659602761268616,-2.5
21,6,3,3,3,-5.2718991461148486,-2.659602761268616,-5.531311375175975,-2.594122290611267,-2.5
22,6,3,3,3,-5.531311375175975,-2.594122290611267,-5.785870176826976,-2.5455880165100098,-2.5
23,6,3,3,3,-5.785870176826976,-2.5455880165100098,-6.042854082857631,-2.569839060306549,-2.5
24,6,3,3,3,-6.042854082857631,-2.569839060306549,-6.315807473932765,-2.7295339107513428,-2.5
25,6,3,3,3,-6.315807473932765,-2.7295339107513428,-6.58234543827679,-2.6653796434402466,-2.5
26,6,3,3,3,-6.58234543827679,-2.6653796434402466,-6.838733208452724,-2.5638777017593384,-2.5
27,6,3,3,3,-6.838733208452724,-2.5638777017593384,-7.101536405359767,-2.6280319690704346,-2.5
28,6,3,3,3,-7.101536405359767,-2.6280319690704346,-7.354868603025936,-2.533321976661682,-2.5
29,6,3,3,3,-7.354868603025936,-2.533321976661682,-7.606750858103298,-2.5188225507736206,-2.5
30,6,3,3,3,-7.606750858103298,-2.5188225507736206,-7.862738174473308,-2.559873163700104,-2.5
31,6,3,3,3,-7.862738174473308,-2.559873163700104,-8.130750429903529,-2.680122554302216,-2.5
32,6,3,3,3,-8.130750429903529,-2.680122554302216,-8.396632236515543,-2.658818066120148,-2.5
33,6,3,3,3,-8.396632236515543,-2.658818066120148,-8.660636049782298,-2.640038132667541,-2.5
34,6,3,3,3,-8.660636049782298,-2.640038132667541,-8.919948858295939,-2.5931280851364136,-2.5
35,6,3,3,3,-8.919948858295939,-2.5931280851364136,-9.183169436728022,-2.6322057843208317,-2.5
36,6,3,3,3,-9.183169436728022,-2.6322057843208317,-9.45195249942448,-2.687830626964569,-2.5
37,6,3,3,3,-9.45195249942448,-2.687830626964569,-9.713981879030726,-2.620293796062469,-2.5
38,6,3,3,3,-9.713981879030726,-2.620293796062469,-9.984534335409665,-2.705524563789368,-2.5
39,6,3,3,3,-9.984534335409665,-2.705524563789368,-10.260591519152186,-2.760571837425232,-2.5
40,6,3,3,3,-10.260591519152186,-2.760571837425232,-10.534080219542048,-2.7348870038986206,-2.5
41,6,3,3,3,-10.534080219542048,-2.7348870038986206,-10.788467389618418,-2.5438717007637024,-2.5
42,6,3,3,3,-10.788467389618418,-2.5438717007637024,-11.053442639385722,-2.6497524976730347,-2.5
43,6,3,3,3,-11.053442639385722,-2.6497524976730347,-11.302596387540362,-2.491537481546402,-2.5
44,6,3,3,3,-11.302596387540362,-2.491537481546402,-11.56580990282204,-2.6321351528167725,-2.5
45,6,3,3,3,-11.56580990282204,-2.6321351528167725,-11.824278232728505,-2.584683299064636,-2.5
46,6,3,3,3,-11.824278232728505,-2.584683299064636,-12.077622738753815,-2.5334450602531438,-2.5
47,6,3,3,3,-12.077622738753815,-2.5334450602531438,-12.33942976323273,-2.6180702447891235,-2.5
48,6,3,3,3,-12.33942976323273,-2.6180702447891235,-12.590783176099322,-2.513534128665924,-2.5
49,6,3,3,3,-12.590783176099322,-2.513534128665924,-12.86653637615349,-2.757532000541687,-2.5
50,6,3,3,3,-12.86653637615349,-2.757532000541687,-13.130129811440966,-2.635934352874756,-2.5
51,6,3,3,3,-13.130129811440966,-2.635934352874756,-13.404403564607165,-2.7427375316619877,-2.5
52,6,3,3,3,-13.404403564607165,-2.7427375316619877,-13.667444494639897,-2.630409300327301,-2.5
53,6,3,3,3,-13.667444494639897,-2.630409300327301,-13.92508867112305,-2.576441764831543,-2.5
54,6,3,3,3,-13.92508867112305,-2.576441764831543,-14.196563092147372,-2.714744210243225,-2.5
55,6,3,3,3,-14.196563092147372,-2.714744210243225,-14.451418635522389,-2.5485554337501526,-2.5
56,6,3,3,3,-14.451418635522389,-2.5485554337501526,-14.718625512992404,-2.672068774700165,-2.5
57,6,3,3,3,-14.718625512992404,-2.672068774700165,-14.952382740651627,-2.337572276592254,-2.5
58,6,3,3,3,-14.952382740651627,-2.337572276592254,-15.223938581620716,-2.715558409690857,-2.5
59,6,3,3,3,-15.223938581620716,-2.715558409690857,-15.501593110238574,-2.776545286178589,-2.5
60,6,3,3,3,-15.501593110238574,-2.776545286178589,-15.774420258676074,-2.728271484375,-2.5
61,6,3,3,3,-15.774420258676074,-2.728271484375,-16.039018449460528,-2.6459819078445435,-2.5
62,6,3,3,3,-16.039018449460528,-2.6459819078445435,-16.30096113411095,-2.6194268465042114,-2.5
63,6,3,3,3,-16.30096113411095,-2.6194268465042114,-16.574021277104876,-2.73060142993927,-2.5
64,6,3,3,3,-16.574021277104876,-2.73060142993927,-16.840368417178652,-2.6634714007377625,-2.5
65,6,3,3,3,-16.840368417178652,-2.6634714007377625,-17.101118234073184,-2.6074981689453125,-2.5
66,6,3,3,3,-17.101118234073184,-2.6074981689453125,-17.374925044452212,-2.738068103790283,-2.5
67,6,3,3,3,-17.374925044452212,-2.738068103790283,-17.644540337001345,-2.696152925491333,-2.5
68,6,3,3,3,-17.644540337001345,-2.696152925491333,-17.90073126283791,-2.561909258365631,-2.5
69,6,3,3,3,-17.90073126283791,-2.561909258365631,-18.1716610464206,-2.709297835826874,-2.5
70,6,3,3,3,-18.1716610464206,-2.709297835826874,-18.43836277452614,-2.6670172810554504,-2.5
71,6,3,3,3,-18.43836277452614,-2.6670172810554504,-18.704438415442965,-2.6607564091682434,-2.5
72,6,3,3,3,-18.704438415442965,-2.6607564091682434,-18.972392705356143,-2.679542899131775,-2.5
73,6,3,3,3,-18.972392705356143,-2.679542899131775,-19.22390007702019,-2.5150737166404724,-2.5
74,6,3,3,3,-19.22390007702019,-2.5150737166404724,-19.48068394986298,-2.567838728427887,-2.5
75,6,3,3,3,-19.48068394986298,-2.567838728427887,-19.74593975869324,-2.6525580883026123,-2.5
